SKU,Product_Name,Category,Brand,Unit_Cost,Selling_Price,Stock_Quantity,Reorder_Level,Supplier,Last_Updated,Warehouse,Status
ELELAP001,Laptop,Electronics,Brand B,466.43,708.59,68,10,Supplier X,2025-07-07 18:29:30.581946,Warehouse B,Out of Stock
ELELAP002,Laptop,Electronics,Brand A,151.13,691.62,312,21,Supplier X,2025-06-25 18:29:30.581958,Warehouse A,In Stock
ELELAP003,Laptop,Electronics,Brand C,270.44,136.3,279,39,Supplier X,2025-07-11 18:29:30.581963,Warehouse B,In Stock
ELELAP004,Laptop,Electronics,Brand D,179.77,482.46,348,36,Supplier Y,2025-06-23 18:29:30.581967,Warehouse A,Low Stock
ELELAP005,Laptop,Electronics,Brand D,14.78,67.17,422,34,Supplier X,2025-07-04 18:29:30.581970,Warehouse B,In Stock
ELEPHO001,Phone,Electronics,Brand A,235.12,137.76,263,21,Supplier X,2025-06-22 18:29:30.581974,Warehouse A,Out of Stock
ELEPHO002,Phone,Electronics,Brand B,165.95,239.42,238,35,Supplier Y,2025-07-05 18:29:30.581978,Warehouse B,In Stock
ELEPHO003,Phone,Electronics,Brand A,204.13,690.87,178,37,Supplier Y,2025-07-10 18:29:30.581981,Warehouse A,Out of Stock
ELEPHO004,Phone,Electronics,Brand A,17.09,695.03,439,35,Supplier X,2025-07-01 18:29:30.581985,Warehouse A,In Stock
ELETAB001,Tablet,Electronics,Brand A,491.99,18.2,190,32,Supplier Y,2025-07-03 18:29:30.581988,Warehouse B,Low Stock
ELETAB002,Tablet,Electronics,Brand D,429.84,206.9,55,45,Supplier Z,2025-07-18 18:29:30.581992,Warehouse B,In Stock
ELETAB003,Tablet,Electronics,Brand C,39.71,785.47,270,19,Supplier X,2025-06-24 18:29:30.581995,Warehouse C,Low Stock
ELETAB004,Tablet,Electronics,Brand B,46.95,182.02,77,31,Supplier Z,2025-07-07 18:29:30.581998,Warehouse C,Low Stock
ELEHEA001,Headphones,Electronics,Brand A,57.13,711.77,181,44,Supplier X,2025-06-21 18:29:30.582002,Warehouse B,In Stock
ELEHEA002,Headphones,Electronics,Brand B,6.17,503.11,395,38,Supplier X,2025-06-18 18:29:30.582005,Warehouse C,Low Stock
ELEHEA003,Headphones,Electronics,Brand B,40.64,826.58,288,17,Supplier Z,2025-06-20 18:29:30.582008,Warehouse B,Out of Stock
ELECAM001,Camera,Electronics,Brand A,14.83,811.9,41,24,Supplier Y,2025-07-07 18:29:30.582012,Warehouse C,Out of Stock
ELECAM002,Camera,Electronics,Brand A,133.93,839.65,436,41,Supplier Z,2025-06-26 18:29:30.582015,Warehouse A,In Stock
ELECAM003,Camera,Electronics,Brand B,346.08,414.36,457,36,Supplier Z,2025-06-24 18:29:30.582018,Warehouse A,Low Stock
ELECAM004,Camera,Electronics,Brand D,319.44,153.0,168,30,Supplier Y,2025-07-06 18:29:30.582022,Warehouse C,Out of Stock
ELECAM005,Camera,Electronics,Brand D,336.98,34.31,443,34,Supplier Y,2025-07-03 18:29:30.582025,Warehouse B,Low Stock
CLOT-S001,T-Shirt,Clothing,Brand B,180.43,81.92,48,49,Supplier Y,2025-06-23 18:29:30.582029,Warehouse C,In Stock
CLOT-S002,T-Shirt,Clothing,Brand B,19.66,513.43,168,35,Supplier X,2025-07-14 18:29:30.582032,Warehouse B,In Stock
CLOT-S003,T-Shirt,Clothing,Brand C,456.77,47.82,331,42,Supplier Y,2025-07-09 18:29:30.582035,Warehouse C,Low Stock
CLOT-S004,T-Shirt,Clothing,Brand D,231.51,484.41,182,33,Supplier Z,2025-07-10 18:29:30.582038,Warehouse C,Out of Stock
CLOT-S005,T-Shirt,Clothing,Brand D,439.2,439.71,41,24,Supplier Y,2025-06-26 18:29:30.582042,Warehouse C,Low Stock
CLOJEA001,Jeans,Clothing,Brand C,309.77,452.51,14,36,Supplier Z,2025-07-10 18:29:30.582045,Warehouse A,Out of Stock
CLOJEA002,Jeans,Clothing,Brand A,398.78,17.19,459,27,Supplier Z,2025-06-29 18:29:30.582048,Warehouse C,Out of Stock
CLOJEA003,Jeans,Clothing,Brand C,177.38,607.36,134,30,Supplier X,2025-06-25 18:29:30.582051,Warehouse B,Low Stock
