Date,Product Category,Product Name,Region,Sales Rep,Quantity,Unit Price,Discount,Revenue,Cost,Profit,Customer ID,Order ID
2024-04-15,Home,Appliances,West,David Brown,19,124.6,0.28,1708.05,700.54,1007.51,CUST7599,ORD99598
2023-04-24,Clothing,Shoes,East,Bob Smith,14,735.63,0.25,7761.57,3346.32,4415.25,CUST9347,ORD15582
2024-07-28,Home,Furniture,North,Eve Wilson,15,651.83,0.11,8706.23,4706.29,3999.94,CUST9019,ORD78819
2024-07-03,Sports,Soccer,West,David Brown,9,220.25,0.09,1810.4,747.7,1062.7,CUST1671,ORD17691
2023-04-15,Books,Non-Fiction,North,Eve Wilson,15,201.95,0.07,2807.96,1373.3,1434.66,CUST6090,ORD74315
2024-02-23,Sports,Football,West,Carol Davis,7,866.86,0.13,5302.61,2395.75,2906.85,CUST1764,ORD25615
2023-03-24,Sports,Basketball,North,Eve Wilson,18,560.49,0.21,7957.4,3573.06,4384.33,CUST9634,ORD93739
2023-07-24,Sports,Soccer,West,Carol Davis,2,775.71,0.03,1498.06,732.51,765.55,CUST3044,ORD81866
2023-05-07,Books,History,West,Eve Wilson,15,946.0,0.02,13943.55,8680.45,5263.11,CUST7828,ORD72661
2024-03-06,Sports,Football,East,Carol Davis,13,476.24,0.24,4680.96,3081.59,1599.37,CUST4950,ORD47893
2024-06-14,Home,Garden,East,Eve Wilson,8,935.2,0.11,6666.09,4408.83,2257.26,CUST8656,ORD36796
2023-03-09,Clothing,Jacket,East,David Brown,20,546.61,0.04,10547.65,4830.55,5717.1,CUST5422,ORD58037
2024-04-09,Electronics,Camera,West,Alice Johnson,4,70.79,0.07,262.46,161.79,100.67,CUST5976,ORD26381
2023-11-22,Electronics,Laptop,South,David Brown,18,861.97,0.05,14724.94,9757.12,4967.82,CUST2816,ORD40846
2023-09-11,Electronics,Headphones,South,Alice Johnson,18,700.29,0.11,11244.24,6360.92,4883.32,CUST2474,ORD24032
2023-07-06,Electronics,Tablet,North,Bob Smith,8,407.72,0.11,2892.49,1552.82,1339.67,CUST4515,ORD84605
2024-03-30,Books,Fiction,Central,Bob Smith,18,463.14,0.01,8271.56,4628.97,3642.59,CUST6915,ORD80327
